museum,ein,tax_year,contractor_name,compensation,services_description,source_url
California Science Center,952210527,2024,EVIDENCE DESIGN LLC,757381,EXHIBIT DESIGNER,https://projects.propublica.org/nonprofits/organizations/952210527
Exploratorium,941696494,2023,PACIFIC STUDIO INC,420387,EXHIBIT FABRICATION,https://projects.propublica.org/nonprofits/organizations/941696494
Houston Museum of Natural Science,741036131,2023,Root Lab LLC,1904530,Exhibition productions,https://projects.propublica.org/nonprofits/organizations/741036131
Houston Museum of Natural Science,741036131,2023,Paul Bernhard Exhibit Design & Consultin,1607624,Exhibition hall design & construction,https://projects.propublica.org/nonprofits/organizations/741036131
Houston Museum of Natural Science,741036131,2023,Sixtyfour Design LLC,653000,"Website design, exhibit interactives",https://projects.propublica.org/nonprofits/organizations/741036131
Liberty Science Center,222302253,2023,ART GUILD,1560803,EXHIBIT DESIGN SERVICES,https://projects.propublica.org/nonprofits/organizations/222302253
Arizona Science Center,860390558,2024,SCIENCE NORTH,1121602,TRAVELING EXHIBITION,https://projects.propublica.org/nonprofits/organizations/860390558
Arizona Science Center,860390558,2024,FLYING FISH EXHIBITS PTY LTD,500109,TRAVEL SERVICES,https://projects.propublica.org/nonprofits/organizations/860390558
Kentucky Science Center,311005850,2024,ROTO GROUP LLC,1689722,EXHIBIT DESIGN AND CONSTRUCTION,https://projects.propublica.org/nonprofits/organizations/311005850
Adventure Science Center,620479192,2025,EVANS & SUTHERLAND,803710,PLANETARIUM CONSULTANTS & EQUIPMENT SUPP,https://projects.propublica.org/nonprofits/organizations/620479192
Adventure Science Center,620479192,2025,ROTO GROUP LLC,117500,EXHIBIT DESIGN,https://projects.propublica.org/nonprofits/organizations/620479192
New York Hall of Science,112104059,2023,MOEY INC,809200,CONNECTED WORLDS EXHIBIT UPGRADE,https://projects.propublica.org/nonprofits/organizations/112104059
New York Hall of Science,112104059,2023,SITU FABRICATION LLC,572606,EXHIBIT FABRICATION,https://projects.propublica.org/nonprofits/organizations/112104059
New York Hall of Science,112104059,2023,ADIRONDACK SCENIC INC,530595,ROCKET PARK RESTORATION,https://projects.propublica.org/nonprofits/organizations/112104059
American Museum of Natural History,136162659,2023,DESIGN AND PRODUCTION INCORPORATED,7143403,Exhibit Consultant,https://projects.propublica.org/nonprofits/organizations/136162659
Cleveland Museum of Natural History,340714338,2023,DESIGN AND PRODUCTION INCORPORATED,2088684,"EXHIBIT PROJECT MANAGEMENT, FABRICATION,",https://projects.propublica.org/nonprofits/organizations/340714338
Cleveland Museum of Natural History,340714338,2023,GALLAGHER & ASSOCIATES LLC,789555,DESIGN SERVICES,https://projects.propublica.org/nonprofits/organizations/340714338
Museum of the Rockies,816016828,2024,STUDIOCRAFT AND BLUEWATER STUDIO,634390,CRETACEOUS CROSSROADS EXHIBIT - DINOSAUR,https://projects.propublica.org/nonprofits/organizations/816016828
Museum of the Rockies,816016828,2024,RESEARCH CASTING INTERNATIONAL,177360,CRETACEOUS CROSSROADS EXHIBIT - DINOSAUR,https://projects.propublica.org/nonprofits/organizations/816016828
Museum of the Rockies,816016828,2024,EVANS & SUTHERLAND,161139,PLANETARIUM - DIGISTAR 7 EQUIPMENT,https://projects.propublica.org/nonprofits/organizations/816016828
Museum of the Rockies,816016828,2024,TRIEBOLD PALEONTOLOGY INC,129284,SKELETON MOUNTS - CRETACEOUS CROSSROADS,https://projects.propublica.org/nonprofits/organizations/816016828
National WWII Museum,720954712,2023,LIGHTING SERVICES INC,113478,EXHIBIT LIGHTING AND EQUIPMENT INSTALLAT,https://projects.propublica.org/nonprofits/organizations/720954712
Missouri Historical Society,430654866,2024,ICON DESIGN LLC,711392,EXHIBIT FABRICATION,https://projects.propublica.org/nonprofits/organizations/430654866
Colonial Williamsburg Foundation,540505888,2024,iCivics Inc,600000,Game development,https://projects.propublica.org/nonprofits/organizations/540505888
National Cowboy,300341029,2023,LIGHTHOUSE IMMERSIVE INC,1550000,GALLERY CONSTRUCTION & DESIGN,https://projects.propublica.org/nonprofits/organizations/300341029
National Cowboy,300341029,2023,SUPERFLY,1098450,TECHNOLOGY PROVIDER/ CODE OF WEST WALL,https://projects.propublica.org/nonprofits/organizations/300341029
National Cowboy,300341029,2023,CORY'S AUDIO VISUAL SERVICES INC,810304,AUDIO VISUAL,https://projects.propublica.org/nonprofits/organizations/300341029
National Cowboy,300341029,2023,BENHAM DESIGN LLC,451865,CONSTRUCTION & DESIGN SERVICES,https://projects.propublica.org/nonprofits/organizations/300341029
Kohl Children's Museum,363706878,2024,LUCI CREATIVE LLC,223613,MUSEUM DESIGN SERVICES,https://projects.propublica.org/nonprofits/organizations/363706878
Solomon R Guggenheim,135562233,2024,KIBOWORKS,913025,FABRICATION,https://projects.propublica.org/nonprofits/organizations/135562233
Solomon R Guggenheim,135562233,2024,FRAMESTORE,609500,CONSULTING,https://projects.propublica.org/nonprofits/organizations/135562233
Whitney Museum,131789318,2023,TEMPORARY WALLS INC,849650,CONSTRUCTION SERVICES,https://projects.propublica.org/nonprofits/organizations/131789318
Indianapolis Museum of Art,350867955,2023,TYLER SCENIC LLC,162700,INSTALL SERVICES,https://projects.propublica.org/nonprofits/organizations/350867955
Salvador Dali Museum,592015192,2024,OMNISPACE 360 LLC,266051,CONSTRUCTION,https://projects.propublica.org/nonprofits/organizations/592015192
North Carolina Museum of Art,237071511,2024,TELEPATHIC GRAPHICS INC,198880,GRAPHIC DESIGN & PRINTING,https://projects.propublica.org/nonprofits/organizations/237071511
North Carolina Museum of Art,237071511,2024,TWO DOTS COMMUNICATIONS LLC,153490,CREATIVE SERVICES & VIDEO PRODUCTION,https://projects.propublica.org/nonprofits/organizations/237071511
North Carolina Museum of Art,237071511,2024,RMB AUDIO INC,150986,AUDIO SERVICES,https://projects.propublica.org/nonprofits/organizations/237071511
Baltimore Museum of Art,526000162,2023,ART & SOUND LLC,148200,ART INSTALLATION,https://projects.propublica.org/nonprofits/organizations/526000162
Brooklyn Museum,111672743,2023,ART WORLD SIGNS,127625,DESIGN,https://projects.propublica.org/nonprofits/organizations/111672743
Florida Aquarium,592807815,2024,IDEAS,813246,Exhibit Design Services,https://projects.propublica.org/nonprofits/organizations/592807815
Florida Aquarium,592807815,2024,Space Haus,352824,Exhibit Design Services,https://projects.propublica.org/nonprofits/organizations/592807815
Lincoln Park Zoo,362512404,2024,ILLUMINIGHT LIGHTING,566500,HOLIDAY LIGHTING DISPLAY,https://projects.propublica.org/nonprofits/organizations/362512404
Houston Zoo,741590271,2023,Bright Lights of Houston,1612290,Lighting,https://projects.propublica.org/nonprofits/organizations/741590271
Fort Worth Zoo,750991727,2024,STEPHANIE TOMMASELLO,245675,EXHIBIT FABRICATION,https://projects.propublica.org/nonprofits/organizations/750991727
Phoenix Zoo,860174843,2023,RWS ENTERTAINMENT GROUP,524310,ZOOLIGHTS CONSULTANT,https://projects.propublica.org/nonprofits/organizations/860174843
Omaha Zoo,470469782,2024,EDGE THEMED ENVIRONMENTS LLC,1340745,CONSTRUCTION,https://projects.propublica.org/nonprofits/organizations/470469782
Intrepid Museum Foundation,133062419,2024,THOMARIOS,403325,DESIGN/PAINTING SERVICES,https://projects.propublica.org/nonprofits/organizations/133062419
Intrepid Museum Foundation,133062419,2024,FLYING FISH INTERNATIONAL,310036,CREATOR OF TRAVELING EXHIBITIONS,https://projects.propublica.org/nonprofits/organizations/133062419
Fernbank Museum,586028607,2023,MuseumsPartner - Exhibition GmbH,237000,Exhibition Designer,https://projects.propublica.org/nonprofits/organizations/586028607
Fernbank Museum,586028607,2023,Contemporanea Progetti Srl,168521,exhibition designer,https://projects.propublica.org/nonprofits/organizations/586028607
Fernbank Museum,586028607,2023,Thinkwell Studio Montreal,155575,exhibition developer,https://projects.propublica.org/nonprofits/organizations/586028607
Denver Museum of Nature and Science,840518447,2024,Local Projects LLC,1932420,Exhibit Design,https://projects.propublica.org/nonprofits/organizations/840518447
COSI,314383802,2024,AMERICAN MUSEUM OF NATURAL HIS,939270,EXHIBIT LICENSES,https://projects.propublica.org/nonprofits/organizations/314383802
COSI,314383802,2024,EXPERIMENTAL MEDIA GROUP LLC (EMG),671952,EXHIBIT RENTAL/LICENSE/ROYALTIES,https://projects.propublica.org/nonprofits/organizations/314383802
National Civil Rights Museum,581484027,2025,Howard & Revis,3212980,Exhibition design,https://projects.propublica.org/nonprofits/organizations/581484027
Boston Children's Museum,042103993,2023,INTEREX,395047,EXHIBIT INSTALLATION,https://projects.propublica.org/nonprofits/organizations/042103993
Children's Museum of Houston,742178563,2023,Heartland Scenic Studio Inc,339039,Design and Consulting for new/updated exhibits,https://projects.propublica.org/nonprofits/organizations/742178563
Kansas City Zoo,436048888,2024,CHANCE RIDES,380713,TRAIN/TRAM BUILDER,https://projects.propublica.org/nonprofits/organizations/436048888
